x(m), y(m), heading(deg)
42.963, 16.645, -172.02
42.863, 16.631, -170.86
42.763, 16.615, -169.70
42.663, 16.597, -168.55
42.564, 16.577, -167.39
42.466, 16.555, -166.23
42.368, 16.531, -165.07
42.270, 16.505, -163.91
42.173, 16.477, -162.75
42.076, 16.447, -161.60
41.980, 16.415, -160.44
41.885, 16.381, -159.28
41.791, 16.345, -158.12
41.697, 16.307, -156.96
41.604, 16.268, -155.81
41.512, 16.227, -154.65
41.420, 16.183, -153.49
41.330, 16.138, -152.33
41.240, 16.091, -151.17
41.152, 16.042, -150.01
41.064, 15.992, -148.86
40.978, 15.940, -147.70
40.892, 15.886, -146.54
40.808, 15.830, -145.38
40.725, 15.772, -144.22
40.643, 15.713, -143.06
40.562, 15.653, -141.91
40.482, 15.590, -140.75
40.404, 15.526, -139.59
40.327, 15.461, -138.43
40.252, 15.394, -137.27
40.177, 15.325, -136.12
40.104, 15.255, -134.96
40.033, 15.184, -133.80
39.963, 15.111, -132.64
39.895, 15.036, -131.48
39.828, 14.961, -130.32
39.762, 14.884, -129.17
39.698, 14.805, -128.01
39.636, 14.726, -126.85
39.576, 14.645, -125.69
39.517, 14.563, -124.53
39.459, 14.479, -123.37
39.404, 14.395, -122.22
39.350, 14.309, -121.06
39.298, 14.223, -119.90
39.247, 14.135, -118.74
39.199, 14.047, -117.58
39.152, 13.957, -116.42
39.107, 13.866, -115.27
39.064, 13.775, -114.11
39.022, 13.683, -112.95
38.983, 13.590, -111.79
38.946, 13.496, -110.63
38.910, 13.401, -109.48
38.876, 13.306, -108.32
38.844, 13.210, -107.16
38.815, 13.113, -106.00
38.787, 13.016, -104.84
38.761, 12.919, -103.68
38.737, 12.820, -102.53
38.715, 12.722, -101.37
38.695, 12.623, 171.77
7.878, 17.080, -81.82
8.590, 12.131, 2.89
90.000, 16.235, 180.00
5.000, 16.235, 5.39
49.577, 20.443, -83.36
49.588, 20.342, -82.19
49.602, 20.242, -81.03
49.618, 20.142, -79.87
49.636, 20.042, -78.71
49.656, 19.943, -77.55
49.677, 19.844, -76.39
49.701, 19.745, -75.23
49.727, 19.648, -74.07
49.755, 19.550, -72.91
49.785, 19.453, -71.74
49.816, 19.357, -70.58
49.850, 19.261, -69.42
49.886, 19.167, -68.26
49.923, 19.072, -67.10
49.963, 18.979, -65.94
50.004, 18.887, -64.78
50.047, 18.795, -63.62
50.092, 18.704, -62.46
50.139, 18.614, -61.29
50.188, 18.525, -60.13
50.238, 18.438, -58.97
50.290, 18.351, -57.81
50.344, 18.265, -56.65
50.400, 18.180, -55.49
50.457, 18.097, -54.33
50.517, 18.015, -53.17
50.577, 17.934, -52.01
50.640, 17.854, -50.85
50.704, 17.775, -49.68
50.769, 17.698, -48.52
50.836, 17.622, -47.36
50.905, 17.547, -46.20
50.975, 17.474, -45.04
51.047, 17.403, -43.88
51.120, 17.332, -42.72
51.194, 17.264, -41.56
51.270, 17.196, -40.40
51.347, 17.131, -39.23
51.426, 17.067, -38.07
51.505, 17.004, -36.91
51.586, 16.943, -35.75
51.669, 16.884, -34.59
51.752, 16.827, -33.43
51.837, 16.771, -32.27
51.922, 16.717, -31.11
52.009, 16.664, -29.95
52.097, 16.614, -28.79
52.186, 16.565, -27.62
52.275, 16.518, -26.46
52.366, 16.473, -25.30
52.458, 16.430, -24.14
52.550, 16.388, -22.98
52.643, 16.349, -21.82
52.737, 16.311, -20.66
52.832, 16.275, -19.50
52.928, 16.241, -18.34
53.024, 16.209, -17.17
53.121, 16.180, -16.01
53.218, 16.152, -14.85
53.316, 16.126, -13.69
53.415, 16.102, -12.53
53.513, 16.080, -11.37
53.613, 16.060, -10.21
53.712, 16.042, -9.05
53.813, 16.026, -7.89
53.913, 16.012, -6.72
54.014, 16.000, -5.56
54.114, 15.990, -4.40
54.215, 15.982, -3.24
54.317, 15.977, -2.08
54.418, 15.973, -0.92
54.519, 15.971, 0.24
54.620, 15.972, 1.40
54.722, 15.974, 2.56
54.823, 15.979, 3.72
54.924, 15.985, 4.89
55.025, 15.994, 6.05
55.126, 16.005, 7.21
55.226, 16.017, 8.37
55.327, 16.032, 9.53
55.426, 16.049, 10.69
55.526, 16.068, 11.85
55.625, 16.089, 13.01
55.724, 16.111, 14.17
55.822, 16.136, 15.34
55.920, 16.163, 16.50
56.017, 16.192, 17.66
56.114, 16.222, 18.82
56.209, 16.255, 19.98
56.305, 16.290, 21.14
56.399, 16.326, 22.30
56.493, 16.365, 23.46
56.586, 16.405, 24.62
56.678, 16.447, 25.79
56.769, 16.491, 26.95
56.859, 16.537, 28.11
56.949, 16.585, 29.27
57.037, 16.635, 30.43
57.125, 16.686, 31.59
57.211, 16.739, 32.75
57.296, 16.794, 33.91
57.380, 16.850, 35.07
57.463, 16.909, 36.23
57.545, 16.968, 37.40
57.625, 17.030, 38.56
57.705, 17.093, 39.72
57.783, 17.158, 40.88
57.859, 17.224, 42.04
57.934, 17.292, 43.20
58.008, 17.361, 44.36
58.081, 17.432, 45.52
58.152, 17.505, 46.68
58.221, 17.578, 47.85
58.289, 17.653, 49.01
58.356, 17.730, 50.17
58.421, 17.808, 51.33
58.484, 17.887, 52.49
58.546, 17.967, 53.65
58.606, 18.049, 54.81
58.664, 18.132, 55.97
58.721, 18.216, 57.13
58.776, 18.301, 58.29
58.829, 18.387, 59.46
58.880, 18.474, 60.62
58.930, 18.562, 61.78
58.978, 18.652, 62.94
59.024, 18.742, 64.10
59.068, 18.833, 65.26
59.111, 18.925, 66.42
59.151, 19.018, 67.58
59.190, 19.112, 68.74
59.227, 19.206, 69.91
59.261, 19.301, 71.07
59.294, 19.397, 72.23
59.325, 19.493, 73.39
59.354, 19.591, 74.55
59.381, 19.688, 75.71
59.406, 19.786, 76.87
59.429, 19.885, 78.03
59.450, 19.984, 79.19
59.469, 20.084, 80.36
59.486, 20.184, 81.52
59.501, 20.284, 82.68
59.514, 20.384, -3.40
92.122, 18.449, 98.18
91.410, 23.398, -177.11
10.000, 19.294, 0.00
92.000, 19.294, -178.31
48.602, 18.016, 93.00
48.597, 18.117, 94.16
48.590, 18.218, 95.32
48.580, 18.318, 96.48
48.569, 18.419, 97.64
48.555, 18.519, 98.79
48.540, 18.619, 99.95
48.522, 18.718, 101.11
48.503, 18.817, 102.27
48.482, 18.916, 103.43
48.458, 19.014, 104.59
48.433, 19.112, 105.74
48.405, 19.210, 106.90
48.376, 19.306, 108.06
48.344, 19.402, 109.22
48.311, 19.498, 110.38
48.276, 19.593, 111.53
48.239, 19.687, 112.69
48.200, 19.780, 113.85
48.159, 19.872, 115.01
